r1,r2,r3,r4,q1,q2,q3,q4,q5,q6
9999.0,9999.0,0.29,9999.0,-0.522586,-0.409071,0.850606,-1.80834,-0.550631,1.59282
9999.0,9999.0,0.29,9999.0,-0.522586,-0.409071,0.850606,-1.80834,-0.550631,1.59282
9999.0,9999.0,0.29,9999.0,-0.522437,-0.408692,0.850715,-1.79973,-0.560134,1.58267
9999.0,9999.0,0.29,9999.0,-0.522287,-0.408314,0.850822,-1.79106,-0.569696,1.57237
9999.0,9999.0,0.29,9999.0,-0.522287,-0.408314,0.850822,-1.79106,-0.569696,1.57237
9999.0,9999.0,0.29,9999.0,-0.522139,-0.407938,0.850927,-1.78231,-0.579314,1.56191
9999.0,9999.0,0.29,9999.0,-0.52199,-0.407564,0.85103,-1.77349,-0.588983,1.55131
9999.0,9999.0,0.29,9999.0,-0.52199,-0.407564,0.85103,-1.77349,-0.588983,1.55131
9999.0,9999.0,0.29,9999.0,-0.521843,-0.407192,0.851131,-1.76459,-0.598701,1.54056
9999.0,9999.0,0.29,9999.0,-0.521696,-0.406822,0.85123,-1.75563,-0.608463,1.52967
9999.0,9999.0,0.27,9999.0,-0.521696,-0.406822,0.85123,-1.75563,-0.608463,1.52967
9999.0,9999.0,0.27,9999.0,-0.521549,-0.406454,0.851327,-1.74659,-0.618267,1.51863
9999.0,9999.0,0.27,9999.0,-0.521403,-0.406088,0.851423,-1.73749,-0.628108,1.50745
9999.0,9999.0,0.27,9999.0,-0.521403,-0.406088,0.851423,-1.73749,-0.628108,1.50745
9999.0,9999.0,0.27,9999.0,-0.521258,-0.405724,0.851517,-1.72832,-0.637985,1.49613
9999.0,9999.0,0.27,9999.0,-0.521113,-0.405362,0.851609,-1.71908,-0.647892,1.48467
9999.0,9999.0,0.26,9999.0,-0.521113,-0.405362,0.851609,-1.71908,-0.647892,1.48467
9999.0,9999.0,0.26,9999.0,-0.520968,-0.405001,0.851699,-1.70977,-0.657828,1.47308
9999.0,9999.0,0.26,9999.0,-0.520825,-0.404643,0.851787,-1.7004,-0.667789,1.46135
9999.0,9999.0,0.26,9999.0,-0.520825,-0.404643,0.851787,-1.7004,-0.667789,1.46135
